0,539,465,797
1,106,213,875
1,113,21,827
1,173,829,184
1,184,586,927
1,237,717,806
1,436,22,428
1,553,704,580
2,929,169,657
2,954,67,190
2,978,114,473
3,35,807,869
3,104,820,410
3,934,499,51
4,32,782,348
4,36,555,994
4,62,689,384
4,501,395,765
4,624,452,891
4,690,145,919
4,835,400,237
5,808,568,918
6,401,957,780
6,448,862,597
6,503,109,323
6,889,531,540
6,995,851,839
7,180,224,510
7,193,381,612
7,416,213,217
7,924,29,295
8,211,697,522
8,276,984,490
8,658,687,491
9,67,793,411
9,659,772,539
10,225,905,870
10,341,300,983
10,356,863,355
10,359,978,226
10,449,429,406
10,557,540,154
10,581,549,792
10,610,306,56
11,65,699,815
11,114,479,996
11,268,358,712
11,373,208,25
11,456,681,373
12,161,569,769
12,205,47,539
12,592,849,826
12,927,689,654
12,931,640,887
12,975,601,504
13,276,154,463
13,399,760,837
13,599,723,973
13,648,675,369
13,736,683,738
13,749,42,672
14,195,412,341
14,272,404,636
14,422,964,414
14,619,666,746
14,836,791,846
14,918,71,283
14,979,601,817
15,75,551,76
15,407,377,47
15,514,839,254
15,768,44,90
15,933,804,291
16,35,681,143
16,90,505,188
16,115,124,697
16,903,837,822
17,351,521,753
17,449,420,622
17,566,224,189
17,880,954,731
17,961,532,712
18,51,203,857
18,120,509,16
18,445,199,230
18,575,155,878
19,124,67,988
19,296,344,139
19,620,831,830
20,8,723,576
20,66,2,330
20,153,331,683
20,410,324,662
20,443,940,802
20,632,293,93
20,784,434,854
21,84,553,581
21,250,752,164
21,424,964,713
21,704,283,125
21,740,847,108
21,806,791,119
21,829,95,523
22,416,452,997
22,452,255,174
22,958,704,687
23,145,241,319
23,234,617,740
23,257,936,476
23,388,215,845
23,470,436,292
23,610,657,961
23,739,322,83
23,809,703,126
23,991,497,279
24,259,364,809
24,259,406,649
24,272,385,797
24,734,505,575
24,956,249,601
25,67,462,404
25,90,3,358
25,142,880,582
25,184,533,906
25,317,790,26
25,464,882,622
25,546,190,879
26,187,480,109
26,319,743,114
26,673,562,192
26,724,579,644
27,86,875,456
27,178,532,99
27,445,664,720
27,542,258,835
27,603,958,659
27,931,470,781
28,107,794,879
28,238,856,37
28,919,942,286
29,523,712,200
30,415,821,570
30,674,933,885
31,153,195,493
31,291,337,2
32,602,899,39
32,646,220,75
32,853,168,22
32,936,141,139
32,970,457,885
33,80,703,738
33,125,766,574
33,168,577,183
33,199,917,342
33,888,893,895
33,958,560,756
34,254,476,629
34,383,605,9
34,390,940,969
35,48,389,391
35,384,747,158
35,444,356,238
36,293,859,538
36,537,827,328
36,775,465,149
36,806,799,712
36,841,344,698
37,79,21,598
37,142,950,373
37,743,448,741
37,941,377,182
38,538,217,518
38,859,935,865
38,980,600,215
39,111,812,377
39,370,407,552
39,792,73,331
40,63,398,95
40,418,365,681
40,421,251,710
40,801,335,176
40,842,67,896
41,18,933,602
41,241,386,578
41,468,185,795
42,187,680,485
42,248,6,433
42,280,83,292
42,369,169,554
43,200,333,449
43,384,920,637
43,958,9,833
44,17,642,368
44,425,417,861
44,603,262,658
44,626,534,863
44,931,220,175
45,584,391,930
45,772,216,763
45,828,854,87
46,25,995,971
46,248,415,77
46,310,591,655
46,375,195,223
46,731,54,998
47,17,615,549
47,635,29,458
49,12,603,290
49,47,352,999
49,310,206,768
49,364,648,193
49,858,887,257
49,939,784,641
49,975,419,187
50,47,623,431
50,203,532,750
50,243,199,654
50,327,747,864
50,500,798,337
51,84,447,838
51,311,63,41
51,359,458,602
51,462,422,390
52,95,484,297
52,310,187,103
52,631,761,852
53,55,567,42
53,171,108,198
53,249,827,696
53,423,606,65
53,441,664,181
53,616,967,836
53,696,964,244
53,935,216,624
53,937,293,118
54,93,35,989
54,294,776,885
54,508,148,888
54,582,4,89
54,653,650,218
54,861,136,865
55,203,741,605
56,12,530,32
56,93,426,559
56,482,486,840
56,537,763,890
56,907,796,429
57,341,60,941
57,588,942,308
57,823,426,100
57,918,228,261
58,270,450,141
58,293,849,516
58,311,802,749
58,573,319,959
58,632,891,2
58,756,994,840
58,827,577,342
59,210,362,999
59,511,90,4
59,563,871,163
59,646,619,228
59,835,372,663
59,921,63,514
60,20,208,338
60,248,247,439
60,449,637,231
60,651,640,689
60,731,342,233
60,936,308,292
61,61,377,634
61,138,889,473
61,336,969,778
61,631,514,872
61,690,257,921
61,928,646,969
62,456,328,670
62,656,387,532
62,696,368,587
62,696,864,509
63,339,254,751
63,370,896,896
63,514,694,635
63,597,467,650
64,159,626,977
64,612,334,782
64,622,339,630
64,869,758,50
65,314,607,417
