560,663,847,205
912,614,271,77
941,986,963,848
390,285,727,921
84,198,562,543
56,788,615,41
76,68,703,832
569,861,562,670
117,275,781,619
735,629,10,809
695,863,152,972
800,603,178,218
541,79,384,253
999,952,864,264
662,456,252,471
475,707,527,257
897,974,246,978
714,407,494,132
216,244,753,87
667,868,198,71
592,491,935,789
666,842,732,155
711,275,417,467
735,155,79,35
519,108,432,601
298,136,489,580
500,90,462,652
900,650,189,777
499,566,813,805
594,413,881,168
662,279,854,364
493,37,928,118
452,529,676,706
468,652,292,476
437,206,694,353
798,693,99,98
567,709,929,435
770,116,340,389
284,622,880,50
377,167,401,494
459,148,503,766
220,612,897,362
252,346,84,965
826,901,747,459
896,707,680,900
375,641,437,564
833,984,481,861
589,67,529,405
78,374,561,350
805,613,201,719
24,517,55,745
897,148,467,251
990,218,761,899
992,613,983,219
398,908,904,411
615,643,998,328
418,719,424,403
613,713,199,809
574,635,89,913
646,460,286,954
522,640,640,615
211,677,264,65
797,186,586,632
621,678,595,714
923,115,73,296
436,735,599,58
748,916,331,357
560,854,105,458
181,284,319,427
121,98,181,211
596,174,964,811
649,187,152,647
2,600,368,917
928,289,675,264
256,707,923,235
842,334,905,47
787,394,49,431
849,323,395,675
427,371,402,51
199,965,308,247
517,699,375,201
372,601,787,551
158,600,595,262
233,878,333,529
864,265,55,771
442,587,780,556
351,247,828,909
574,627,315,813
290,991,225,402
770,235,331,364
888,626,171,540
48,823,696,906
825,984,337,23
33,408,645,843
616,455,402,17
91,837,601,34
138,937,736,381
205,668,86,908
487,700,227,397
823,971,42,653
